"","id","lat","lon","val"
"1",1,90,0,0
"2",2,90,1.5,0
"3",3,90,3,0
"4",4,90,4.5,0
"5",5,90,6,0
"6",6,90,7.5,0
"7",7,90,9,0
"8",8,90,10.5,0
"9",9,90,12,0
"10",10,90,13.5,0
"11",11,90,15,0
"12",12,90,16.5,0
"13",13,90,18,0
"14",14,90,19.5,0
"15",15,90,21,0
"16",16,90,22.5,0
"17",17,90,24,0
"18",18,90,25.5,0
"19",19,90,27,0
"20",20,90,28.5,0
"21",21,90,30,0
"22",22,90,31.5,0
"23",23,90,33,0
"24",24,90,34.5,0
"25",25,90,36,0
"26",26,90,37.5,0
"27",27,90,39,0
"28",28,90,40.5,0
"29",29,90,42,0
"30",30,90,43.5,0
"31",31,90,45,0
"32",32,90,46.5,0
"33",33,90,48,0
"34",34,90,49.5,0
"35",35,90,51,0
"36",36,90,52.5,0
"37",37,90,54,0
"38",38,90,55.5,0
"39",39,90,57,0
"40",40,90,58.5,0
"41",41,90,60,0
"42",42,90,61.5,0
"43",43,90,63,0
"44",44,90,64.5,0
"45",45,90,66,0
"46",46,90,67.5,0
"47",47,90,69,0
"48",48,90,70.5,0
"49",49,90,72,0
"50",50,90,73.5,0
"51",51,90,75,0
"52",52,90,76.5,0
"53",53,90,78,0
"54",54,90,79.5,0
"55",55,90,81,0
"56",56,90,82.5,0
"57",57,90,84,0
"58",58,90,85.5,0
"59",59,90,87,0
"60",60,90,88.5,0
"61",61,90,90,0
"62",62,90,91.5,0
"63",63,90,93,0
"64",64,90,94.5,0
"65",65,90,96,0
"66",66,90,97.5,0
"67",67,90,99,0
"68",68,90,100.5,0
"69",69,90,102,0
"70",70,90,103.5,0
"71",71,90,105,0
"72",72,90,106.5,0
"73",73,90,108,0
"74",74,90,109.5,0
"75",75,90,111,0
"76",76,90,112.5,0
"77",77,90,114,0
"78",78,90,115.5,0
"79",79,90,117,0
"80",80,90,118.5,0
"81",81,90,120,0
"82",82,90,121.5,0
"83",83,90,123,0
"84",84,90,124.5,0
"85",85,90,126,0
"86",86,90,127.5,0
"87",87,90,129,0
"88",88,90,130.5,0
"89",89,90,132,0
"90",90,90,133.5,0
"91",91,90,135,0
"92",92,90,136.5,0
"93",93,90,138,0
"94",94,90,139.5,0
"95",95,90,141,0
"96",96,90,142.5,0
"97",97,90,144,0
"98",98,90,145.5,0
"99",99,90,147,0
"100",100,90,148.5,0
"101",101,90,150,0
"102",102,90,151.5,0
"103",103,90,153,0
"104",104,90,154.5,0
"105",105,90,156,0
"106",106,90,157.5,0
"107",107,90,159,0
"108",108,90,160.5,0
"109",109,90,162,0
"110",110,90,163.5,0
"111",111,90,165,0
"112",112,90,166.5,0
"113",113,90,168,0
"114",114,90,169.5,0
"115",115,90,171,0
"116",116,90,172.5,0
"117",117,90,174,0
"118",118,90,175.5,0
"119",119,90,177,0
"120",120,90,178.5,0
"121",121,90,180,0
"122",122,90,181.5,0
"123",123,90,183,0
"124",124,90,184.5,0
"125",125,90,186,0
"126",126,90,187.5,0
"127",127,90,189,0
"128",128,90,190.5,0
"129",129,90,192,0
"130",130,90,193.5,0
"131",131,90,195,0
"132",132,90,196.5,0
"133",133,90,198,0
"134",134,90,199.5,0
"135",135,90,201,0
"136",136,90,202.5,0
"137",137,90,204,0
"138",138,90,205.5,0
"139",139,90,207,0
"140",140,90,208.5,0
"141",141,90,210,0
"142",142,90,211.5,0
"143",143,90,213,0
"144",144,90,214.5,0
"145",145,90,216,0
"146",146,90,217.5,0
"147",147,90,219,0
"148",148,90,220.5,0
"149",149,90,222,0
"150",150,90,223.5,0
"151",151,90,225,0
"152",152,90,226.5,0
"153",153,90,228,0
"154",154,90,229.5,0
"155",155,90,231,0
"156",156,90,232.5,0
"157",157,90,234,0
"158",158,90,235.5,0
"159",159,90,237,0
"160",160,90,238.5,0
"161",161,90,240,0
"162",162,90,241.5,0
"163",163,90,243,0
"164",164,90,244.5,0
"165",165,90,246,0
"166",166,90,247.5,0
"167",167,90,249,0
"168",168,90,250.5,0
"169",169,90,252,0
"170",170,90,253.5,0
